,tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
131,"Мама пятерых дочерей учит их тому, что «девственность — это миф».

https://t.co/0zRoaV6FJJ https://t.co/w9QNoA0FMd",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"У берегов Новой Зеландии нашли светящихся акул.

Три вида!
https://t.co/jRUc8rn2PE https://t.co/UHK0bMah5z",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Лёсы дэбютных кніг беларускіх літаратараў.

«Канваіры прапанавалі бегчы ў бок лесу. Каго падстрэляць — такі лёс».… https://t.co/WzaKuFQprV",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Хаос в Мьянме — еще 38 погибших, стрельба на поражение.

«Они просто открыли огонь».

https://t.co/yI4WItbmAO https://t.co/EaOIS04B0c",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Доверяете российской вакцине?

#вопросдня https://t.co/aIK8QQoYbO",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Судят минчанина, который избил в автобусе пассажира в куртке с госсимволикой. 

Что он говорит в суде?… https://t.co/fWYblzPAZ8",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"В России хотят ужесточить условия поставок цветов из Беларуси.

Матвиенко: Цены на цветы кусаются.… https://t.co/lwZrtV0Wo8",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"Умер солист Brutto Сергей «Бразил» Королев.

https://t.co/T5fu2yS8nE https://t.co/UjtPYDboa7",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Задержаны трое бобруйчан — за браконьерство, оскорбление инспекторов и демонстрацию гениталий.… https://t.co/yrmULeL3QM",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"«Не хочу, чтобы мой сын вырос «настоящим мужиком».

Мнение.

https://t.co/oiSTZLkc9Q https://t.co/Xu0v9e2MEJ",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"В AliExpress рассказали о самых дорогих покупках белорусов.

Шуба, скрипка, игрушечный экскаватор.… https://t.co/2P602NLK3X",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Муж Ксении Собчак опубликовал правила своего театра.

Разрешено флиртовать. https://t.co/P3xk1YWJdq https://t.co/AJKHcPOvOc",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Шесть самых типичных отговорок, которые мешают заниматься спортом. 

Что с ними делать?

https://t.co/9Wi17S2M9r https://t.co/Vkz1vsFMDR",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Парню из Новополоцка пришла повестка из военкомата.

А он не пошел и уехал в Китай — рекламировать белье.… https://t.co/t2Cr6eteBt",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Навальный сообщил о своем местонахождении.

«Сушим сухари, и я не думал, что это так увлекательно».… https://t.co/VMQRewf6pU",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Куда точно стоит сходить в этом месяце?

Гид-гигант по событиям марта. 

https://t.co/ty0QWWGAeg https://t.co/OyL5dO5GOD",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Вынесли приговор по делу о разбросанных у прокуратуры саморезах: у одной из женщин — реальный срок.… https://t.co/UJksW2bL8I,@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,В Гродно начался суд над музыкантом Игорем Банцером. Его обвиняют в хулиганстве: ночью 5 сентября танцевал без нижн… https://t.co/JkNAQ8B3QP,@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"СК показал видео, снятое скрытой камерой в штабе Тихановской. 

Кто на записи и что о ней известно?… https://t.co/F8nCfdpuCI",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Врачи обнаружили в желудке девочки килограммовый ком волос. 

Причина вас удивит. https://t.co/79AmSZ3iRG https://t.co/j7cDPR8qI1",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Задержанным в лесу около Солигорска дали высокие штрафы и до 30 суток ареста.

https://t.co/A3sHaTdMRs https://t.co/gn5ZZIK3Tf",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"У 53-летнего Федора Бондарчука родился сын.

https://t.co/9SQDH0NKrg https://t.co/nWsmvTFQEX",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Минчанка продала квартиру и купила синагогу.

«Не могу понять, почему чиновникам настолько все равно».… https://t.co/Jwikfc6wTN",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Для водителя, который прокатил на капоте гаишника, запросили 11 лет колонии усиленного режима.… https://t.co/KUusakrRvG",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Задержанным под Молодечно минчанам присудили большие штрафы и сутки.

https://t.co/sCVEx1blor https://t.co/Xu9G9Lu9cb",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"В Евросоюзе прокомментировали приговор Борисевич и Сорокину.

https://t.co/yMNyF9ZVX9 https://t.co/eGZ4UJXE4t",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"А вот так сегодня выглядит афиша Купаловского театра, из которого после выборов в знак протеста уволилось 58 сотруд… https://t.co/m85yHNtv3Y",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Избитому ОМОНом таксисту из Гродно должны были вынести приговор за насилие над милицией — но он пропал.… https://t.co/RwmpwFg8y0,@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Над Минском будет летать вертолет МЧС. 

Рассказываем почему.

https://t.co/MR0RPpA09n https://t.co/iemgKyVgVH",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Беларусбанк начал выдавать потребительские кредиты. 

Под какие ставки и на каких условиях?

https://t.co/FHjjX00rvd https://t.co/Tmb1X1nS2U",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"В Барановичах судят физрука за удар школьника в пах: подросток перенес операцию.

«Не стерпел».… https://t.co/2l3SFA9ppd",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Алкогольно-табачные послабления, новые запреты и игры с мелким шрифтом. 

Что меняется в законе о рекламе?… https://t.co/30Qi6byvaW",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Умер известный инфекционист, спасший тысячи пациентов.

«Он был верен клятве Гиппократа всю свою жизнь».… https://t.co/rQgvaRoy81",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Родители не пускали дочь на учебу из-за ковида — и ее отчислили. 

Колледж: все законно. https://t.co/hJUuHeF3F4 https://t.co/VIYWgzQp62",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Какие крупные концерты пройдут в марте, а какие — точно нет?

 Вот список. https://t.co/s7QI1TnFBn https://t.co/nqfncxtLQW",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Могилев «плывет».

Не убранный февральский снег растаял и залил улицы и дворы.

https://t.co/2aO7lSBszo https://t.co/0MVriR4Bi3",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"В метро запустили оплату по лицу. 

Протестировали новинку и рассказываем, как это работает.… https://t.co/S4hhtu6NpZ",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Магазин https://t.co/SB0fA1uecI закрылся (даже в онлайн-формате).

Ему пришлось пережить восемь месяцев проверок.… https://t.co/fgCbEIqhaw",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Что известно о задержаниях блогеров и админов телеграм-чатов в Минске?

«Утром ломились в подъезд».… https://t.co/0gZIpwCEpa",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Все магазины Bigzz и «Копилка» не работают. 

Компания ушла в ликвидацию.

https://t.co/xr59a7rhRK https://t.co/W0U3D5eXQy",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Житель «Пирса» повесил на балконе БЧБ-флаг, а его авто забрал эвакуатор.

«Предложили снять, я отказался».… https://t.co/WAwyhohPxG",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Белорусских водителей будут штрафовать за пассажиров-иностранцев с «проблемными» документами.… https://t.co/Bt9iOZFn7q,@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Читательница пишет, что 55-летний муж изменяет ей на протяжении нескольких лет и не собирается менять свою линию по… https://t.co/MKpwIFoesA",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Родителей из-за ковида не пускают на утренники к 8 марта. Мамы недовольны, у специалистов — свои аргументы.

«Конце… https://t.co/xFGdflU4Es",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Когда нужно сделать УЗИ брюшной полости и как избежать ошибок в подготовке?

Объясняет врач.… https://t.co/sDBxMDWzda",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Рассказываем про пять необычных видов головной боли.

Как их распознать и что делать?

https://t.co/ezydS6takc https://t.co/IsalQZynqe",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"Глава МВД Украины рассказал о деле Шеремета и о показаниях «белорусского одного товарища».

«Будет два очень интере… https://t.co/8lhMRRO14O",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"В январе и феврале цены на многие товары, в том числе и социально значимые, рванули вверх.

Посмотрели, где сейчас… https://t.co/oa2nY3O2OW",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2 марта суд вынес приговор по делу нашей коллеги. Катерина Борисевич получила шесть месяцев лишения свободы и штраф… https://t.co/rXB6NTFMo2,@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"В Гомеле за попытку поджога «Табакерки» мужчине дали 3,5 года усиленного.

Ущерб киоску  — 26 рублей 36 копеек.… https://t.co/nQMzgmodLU",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Елена ничего не слышит с раннего детства. Она разбирает звуки голосов, но не понимает слов — приходится читать по г… https://t.co/mfOKGgKQyv",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Пьяные мужчины сорвали госфлаги в центре Минска. 

Их задерживали сотрудники ГУБОПиК, СОБРа и ОМОНа.… https://t.co/CrEliNyDkB",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Что происходит в Беларуси 3 марта?

Рассказываем онлайн. 

https://t.co/zkwzaf90PY https://t.co/JyCN9sbJOm",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"В Барановичах за взятку задержаны должностные лица филиала «Атланта».

Начальник бюро коммерческого отдела получил… https://t.co/k7PCKqTUxq",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Водитель, который пытался уехать от силовиков, громивших авто на Дзержинского, получил 4 года колонии.

Изначально… https://t.co/JyqmT28VYN",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Выявлен новый штамм коронавируса, который может быть устойчив к вакцине.

https://t.co/3OxNIrRsXS https://t.co/txDXpFlAQh",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Резидент ПВТ пошел развивать технологические проекты в регионах.

«В интересах всех, чтобы люди не уезжали».… https://t.co/okpHt014V5",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Посол России в Беларуси Дмитрий Мезенцев считает, что «сближение Беларуси и России — важнейший фактор, с которым не… https://t.co/5RtN4ygbpn",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"За цифры краской на асфальте 18-летнего могилевчанина судят по уголовной статье.

Краска уже стерлась.… https://t.co/IihR1Xz37a",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"В новом КоАП изменилась формулировка «создание аварийной обстановки». 

Лишат ли прав из-за мелкого ДТП?… https://t.co/xVTxMd3SLb",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"Вы точно знаете все о контрацепции?

Проверьте — потом скажете себе спасибо. 

https://t.co/4WJYfFnfuA https://t.co/eHj0l9m2yp",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"По делу о массовых беспорядках в Бресте прошли прения.

Прокуратура посчитала вину первых девяти обвиняемых доказан… https://t.co/EJghkaAB1J",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Сколько стоит построить дачу на 71 «квадрат»? 

Посчитали вариант с чистовой отделкой и отоплением.… https://t.co/mLHI9y7xU9",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Посольство США про приговор Катерине Борисевич и Артему Сорокину:

«Власти отомстили тем, кто вскрыл факты о смерти… https://t.co/94lNX5HDbB",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Не читали? Читайте!

Какой будет погода весной и стоит ли прятать теплые пуховики в марте?

https://t.co/8vOjvX6x0l https://t.co/n3FBx5z0VH",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"Известные белорусы — о приговоре врачу и журналисту.

«Радуюсь „мягкому“ приговору для невиновных людей».… https://t.co/kf7wC5UUza",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"Если вы не читали днем. 

Делимся гороскопом на март для всех знаков зодиака (кроме скептиков).… https://t.co/bWy1xk4yzx",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"Названы самые неудачные пароли 2020 года. 

Проверьте, не используете ли вы такой.

https://t.co/uLLvYHcIwn https://t.co/QBggCcktgy",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"В 23 года у россиянки 11 детей — благодаря суррогатным мамам и мужу-миллионеру. 

Спросили, зачем ей это.… https://t.co/bxwpMVevhJ",@tutby Нет конечно,@tutby доверяю,@tutby Уже привился Пфайзером.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
